;mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
71;2;0.3996553010350033;69.58325789488777;2021-01-01 00:02:55+00:00;9.006513754213579;243;243;0;18;
72;1;0.3970806991239711;69.58837792698348;2021-01-01 00:03:00+00:00;19.93091542936325;246;246;0;18;
73;2;0.3994482936227646;69.58315388926292;2021-01-01 00:03:00+00:00;9.006513754213579;243;243;0;18;
74;1;0.39661166729416175;69.5881709559807;2021-01-01 00:03:05+00:00;19.93091542936325;246;246;0;18;
75;2;0.399240202328058;69.58305206832853;2021-01-01 00:03:05+00:00;9.006513754213579;244;244;0;18;
76;1;0.396142853777618;69.58796349086097;2021-01-01 00:03:10+00:00;19.93091542936325;246;246;0;18;
77;2;0.3990312935005557;69.58295193471713;2021-01-01 00:03:10+00:00;9.006513754213579;244;244;0;18;
78;1;0.39567414436044895;69.58775579064533;2021-01-01 00:03:15+00:00;19.93091542936325;246;246;0;18;
79;2;0.3988217658708282;69.58285310203695;2021-01-01 00:03:15+00:00;9.006513754213579;244;244;0;18;
80;1;0.39520548453358034;69.58754797855272;2021-01-01 00:03:20+00:00;19.93091542936325;246;246;0;18;
81;2;0.39861176848610275;69.58275527117966;2021-01-01 00:03:20+00:00;9.006513754213579;245;245;0;18;
82;1;0.39473684831944256;69.5873401132156;2021-01-01 00:03:25+00:00;19.828998413272295;246;246;0;18;
83;2;0.39840141363933307;69.5826582111605;2021-01-01 00:03:25+00:00;9.006513754213579;245;245;0;18;
84;1;0.39426559193528543;69.58714512980332;2021-01-01 00:03:30+00:00;19.828998413272295;248;248;0;18;
85;2;0.3981907862571305;69.58256174389759;2021-01-01 00:03:30+00:00;9.006513754213579;245;245;0;18;
86;1;0.3937913202640372;69.58695747933804;2021-01-01 00:03:35+00:00;19.828998413272295;248;248;0;18;
87;2;0.3979799507717987;69.58246573225387;2021-01-01 00:03:35+00:00;9.006513754213579;245;245;0;18;
88;1;0.3933164171818425;69.58677143153659;2021-01-01 00:03:40+00:00;19.828998413272295;248;248;0;18;
89;2;0.3977689561916793;69.58237007070962;2021-01-01 00:03:40+00:00;9.006513754213579;245;245;0;18;
90;1;0.39284122197338545;69.58658613093111;2021-01-01 00:03:45+00:00;19.828998413272295;248;248;0;18;
91;2;0.39755783986925514;69.58227467812083;2021-01-01 00:03:45+00:00;9.006513754213579;245;245;0;18;
92;1;0.3923658874285856;69.5864011879967;2021-01-01 00:03:50+00:00;19.828998413272295;248;248;0;18;
93;2;0.39734663031911505;69.582179492115;2021-01-01 00:03:50+00:00;9.006513754213579;245;245;0;18;
94;1;0.39189048626705025;69.58621641635874;2021-01-01 00:03:55+00:00;19.828998413272295;248;248;0;18;
95;2;0.39713534933655364;69.58208446476385;2021-01-01 00:03:55+00:00;9.006513754213579;245;245;0;18;
96;1;0.3914150532307695;69.5860317267501;2021-01-01 00:04:00+00:00;19.828998413272295;248;248;0;18;
97;2;0.39692401359735824;69.58198955924688;2021-01-01 00:04:00+00:00;9.006513754213579;245;245;0;18;
98;1;0.39093960493739843;69.58584707642088;2021-01-01 00:04:05+00:00;19.828998413272295;248;248;0;18;
99;2;0.39671263587010963;69.58189474728198;2021-01-01 00:04:05+00:00;9.006513754213579;245;245;0;18;
100;1;0.3905573677384874;69.58569864338264;2021-01-01 00:04:10+00:00;10.109775951069272;248;248;0;18;
101;2;0.39650122593746706;69.58180000714842;2021-01-01 00:04:10+00:00;9.006513754213579;245;245;0;18;
102;1;0.39040817497051244;69.58564071058319;2021-01-01 00:04:15+00:00;0.3905534888662486;248;248;0;18;
103;2;0.3962897912978679;69.58170532216619;2021-01-01 00:04:15+00:00;9.006513754213579;245;245;0;18;
104;1;0.39040630203460763;69.58563998331552;2021-01-01 00:04:20+00:00;0.0;248;248;0;18;
105;2;0.3960783377009276;69.58161067952722;2021-01-01 00:04:20+00:00;9.006513754213579;245;245;0;18;
106;1;0.39040630203460763;69.58563998331552;2021-01-01 00:04:25+00:00;0.0;248;248;0;18;
