,mmsi,lon,lat,date_time_utc,sog,cog,true_heading,nav_status,message_nr,source
195,Ship4,6960246.75274548,42227.083495273255,48,7.497,39,39,,1,
196,Ship1,6959969.778727552,41480.02278143893,49,10.149,222,222,,18,
197,Ship2,6959653.470152283,41190.96424063322,49,6.426,132,132,,2,
198,Ship3,6959202.586216947,40851.68482895489,49,9.843,275,275,,3,
199,Ship4,6960252.577675268,42231.80315648664,49,7.497,39,39,,1,
200,Ship1,6959962.356167187,41473.10123546816,50,10.149,222,222,,18,
201,Ship2,6959649.113681868,41195.68807821722,50,6.426,132,132,,2,
202,Ship3,6959203.449523881,40841.87976138054,50,9.843,275,275,,3,
203,Ship4,6960258.402705044,42236.52269429437,50,7.497,39,39,,1,
204,Ship1,6959954.9336120635,41466.179683876304,51,10.149,222,222,,18,
205,Ship2,6959644.755533456,41200.410367749246,51,6.426,132,132,,2,
206,Ship3,6959204.312296061,40832.074646737376,51,9.843,275,275,,3,
207,Ship4,6960264.227827308,42241.24211794628,51,7.497,39,39,,1,
208,Ship1,6959947.51106165,41459.25812723385,52,10.149,222,222,,18,
209,Ship2,6959640.395815364,41205.13120815784,52,6.426,132,132,,2,
210,Ship3,6959205.17458612,40822.269489683385,52,9.843,275,275,,3,
211,Ship4,6960270.053035125,42245.961435999016,52,7.497,39,39,,1,
212,Ship1,6959940.088515468,41452.33656605338,53,10.149,222,222,,18,
213,Ship2,6959636.034628889,41209.8506920834,53,6.426,132,132,,2,
214,Ship3,6959206.036441512,40812.464294413374,53,9.843,275,275,,3,
215,Ship4,6960275.878322081,42250.68065636795,53,7.497,39,39,,1,
216,Ship1,6959932.665973088,41445.415000795474,54,10.149,222,222,,18,
217,Ship2,6959631.672068763,41214.5689062735,54,6.426,132,132,,2,
218,Ship3,6959206.89790502,40802.65906470546,54,9.843,275,275,,3,
219,Ship4,6960281.703682239,42255.39978637528,54,7.497,39,39,,1,
220,Ship1,6959925.243434125,41438.49343187392,55,10.149,222,222,,18,
221,Ship2,6959627.308223586,41219.28593195403,55,6.426,135,135,,2,
222,Ship3,6959207.759015216,40792.8538039628,55,9.843,275,275,,3,
223,Ship4,6960287.529110111,42260.11883279439,55,7.497,39,39,,1,
224,Ship1,6959917.820898231,41431.57185966057,56,10.149,222,222,,18,
225,Ship2,6959622.756733351,41223.82216526495,56,6.426,137,137,,2,
226,Ship3,6959208.619806874,40783.04851525104,56,9.843,275,275,,3,
227,Ship4,6960293.3546006195,42264.837801891015,56,7.497,39,39,,1,
228,Ship1,6959910.398365095,41424.65028448952,57,10.149,222,222,,18,
229,Ship2,6959618.025081821,41228.17014753206,57,6.426,139,139,,2,
230,Ship3,6959209.480311348,40773.24320133206,57,9.843,275,275,,3,
231,Ship4,6960299.180149067,42269.556699461275,57,7.497,39,39,,1,
232,Ship1,6959902.975834438,41417.72870666093,58,10.149,222,222,,18,
233,Ship2,6959613.121048983,41232.3227296118,58,6.426,142,142,,2,
234,Ship3,6959210.340556906,40763.437864694206,58,9.843,275,275,,3,
235,Ship4,6960305.005751111,42274.275530866864,58,7.497,39,39,,1,
236,Ship1,6959895.553306007,41410.8071264445,59,10.149,222,222,,18,
237,Ship2,6959608.052698265,41236.27308364619,59,6.426,144,144,,2,
238,Ship3,6959211.20056903,40753.63250757956,59,9.843,275,275,,3,
239,Ship4,6960310.83140273,42278.99430106762,59,7.497,39,39,,1,
240,Ship1,6959888.1307795765,41403.885544082594,60,10.149,222,222,,18,
241,Ship2,6959602.8283632705,41240.0147142895,60,6.426,146,146,,2,
242,Ship3,6959212.060370699,40743.827132008424,60,9.843,275,275,,3,
243,Ship4,6960316.657100209,42283.713014651614,60,7.497,39,39,,1,
244,Ship1,6959880.708254944,41396.96395979294,61,10.149,222,222,,18,
245,Ship2,6959597.456634082,41243.54146938816,61,6.426,149,149,,2,
246,Ship3,6959212.919982626,40734.021739801334,61,9.843,275,275,,3,
247,Ship4,6960322.482840108,42288.431675863,61,7.497,39,39,,1,
248,Ship1,6959873.285731927,41390.04237377118,62,10.149,222,222,,18,
249,Ship2,6959591.946343132,41246.84755009643,62,6.426,151,151,,2,
